rank,requested,taxonomy_status,scientific,model_scientific,model_common,key,note,asset_status,plate,historical_title,match_basis,source_page,institution_record,license_status,crop_status,source_local,source_download,source_sha256,artwork_status,shipped_source_page
144,Black-crowned Night-Heron,exact common name,Nycticorax nycticorax,Nycticorax nycticorax,Black-crowned Night-Heron,nycticorax-nycticorax,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVCommon_Night_Heron.jpg
145,Glossy Ibis,exact common name,Plegadis falcinellus,Plegadis falcinellus,Glossy Ibis,plegadis-falcinellus,,existing upstream,388,Glossy Ibis,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/nuttalls-starling,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0388,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGlossy_Ibis.jpg
146,White-faced Ibis,exact common name,Plegadis chihi,Plegadis chihi,White-faced Ibis,plegadis-chihi,,needs source,,,,,,,,,,,missing,
147,Wood Stork,exact common name,Mycteria americana,Mycteria americana,Wood Stork,mycteria-americana,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:216_Wood_Ibiss.jpg
148,Fulvous Whistling-Duck,exact common name,Dendrocygna bicolor,Dendrocygna bicolor,Fulvous Whistling-Duck,dendrocygna-bicolor,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_game_birds_of_California_(Pl._7)_(6714572401).jpg
149,Greater White-fronted Goose,exact common name,Anser albifrons,Anser albifrons,Greater White-fronted Goose,anser-albifrons,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVWhite-fronted_Goose.jpg
150,Snow Goose,exact common name,Anser caerulescens,Anser caerulescens,Snow Goose,anser-caerulescens,,existing upstream,382,Snow Goose,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/sharp-tailed-grouse,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0382,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(1837)_(14563947840).jpg
151,Ross's Goose,exact common name,Anser rossii,Anser rossii,Ross's Goose,anser-rossii,,needs source,,,,,,,,,,,missing,
152,Canada Goose,exact common name,Branta canadensis,Branta canadensis,Canada Goose,branta-canadensis,,existing upstream,201,Canada Goose,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/canada-goose,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0201,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:British_game_birds_and_wildfowl_(Plate_32)_(8093637854).jpg
153,Cinnamon Teal,exact common name,Spatula cyanoptera,Spatula cyanoptera,Cinnamon Teal,spatula-cyanoptera,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00158.jpg
154,Northern Pintail,exact common name,Anas acuta,Anas acuta,Northern Pintail,anas-acuta,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVPintail_Duck.jpg
155,Canvasback,exact common name,Aythya valisineria,Aythya valisineria,Canvasback,aythya-valisineria,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:301_Canvas_backed_Duck.jpg
156,Redhead,exact common name,Aythya americana,Aythya americana,Redhead,aythya-americana,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:322_Red-headed_Duck.jpg
157,Ring-necked Duck,exact common name,Aythya collaris,Aythya collaris,Ring-necked Duck,aythya-collaris,,source downloaded - NOT a finished asset,234,Ring-necked Duck,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/ring-necked-duck,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0234,unverified - check exact scan,not reviewed,sources/234.jpg,https://media.audubon.org/boa_illustration/plate-234-ring-necked-duck.jpg,17116de32f4b1c3eb2a5f4c56ae6bb4fcf5f06bccb278b4e3e1c9b38f2c7d094,present,https://commons.wikimedia.org/wiki/File:234_Tufted_Duck.jpg
158,Lesser Scaup,exact common name,Aythya affinis,Aythya affinis,Lesser Scaup,aythya-affinis,,needs source,,,,,,,,,,,missing,
159,Greater Scaup,exact common name,Aythya marila,Aythya marila,Greater Scaup,aythya-marila,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVScaup_Pochard.jpg
160,Surf Scoter,exact common name,Melanitta perspicillata,Melanitta perspicillata,Surf Scoter,melanitta-perspicillata,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVSurf_Scoter.jpg
161,White-winged Scoter,unresolved,,,,,,taxonomy review,,,,,,,,,,,taxonomy-review,
162,Black Scoter,exact common name,Melanitta americana,Melanitta americana,Black Scoter,melanitta-americana,,needs source,,,,,,,,,,,missing,
163,Long-tailed Duck,exact common name,Clangula hyemalis,Clangula hyemalis,Long-tailed Duck,clangula-hyemalis,,existing upstream,312,Long-tailed Duck,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/long-tailed-duck,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0312,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLong-tailed_Duck.jpg
164,Bufflehead,exact common name,Bucephala albeola,Bucephala albeola,Bufflehead,bucephala-albeola,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:325_Buffel-headed_Duck.jpg
165,Common Goldeneye,exact common name,Bucephala clangula,Bucephala clangula,Common Goldeneye,bucephala-clangula,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGoldeneye.jpg
166,Barrow's Goldeneye,exact common name,Bucephala islandica,Bucephala islandica,Barrow's Goldeneye,bucephala-islandica,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVBarrows_Duck.jpg
167,Hooded Merganser,exact common name,Lophodytes cucullatus,Lophodytes cucullatus,Hooded Merganser,lophodytes-cucullatus,,existing upstream,232,Hooded Merganser,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/hooded-merganser,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0232,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVHooded_Merganser.jpg
168,Red-breasted Merganser,exact common name,Mergus serrator,Mergus serrator,Red-breasted Merganser,mergus-serrator,,existing upstream,401,Red-breasted Merganser,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-breasted-merganser,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0401,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRed-breasted_Merganser.jpg
169,Common Merganser,exact common name,Mergus merganser,Mergus merganser,Common Merganser,mergus-merganser,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVGoosander.jpg
170,Ruddy Duck,exact common name,Oxyura jamaicensis,Oxyura jamaicensis,Ruddy Duck,oxyura-jamaicensis,,source downloaded - NOT a finished asset,343,Ruddy Duck,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/ruddy-duck,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0343,unverified - check exact scan,not reviewed,sources/343.jpg,https://media.audubon.org/boa_illustration/plate-343-ruddy-duck.jpg,4f5c44d31c6b08079e12c4a040e6582af6bf5a54a440c8c9fd4db05f33438272,present,https://commons.wikimedia.org/wiki/File:343_Ruddy_Duck.jpg
171,Osprey,exact common name,Pandion haliaetus,Pandion haliaetus,Osprey,pandion-haliaetus,,existing upstream,81,"Fish Hawk, or Osprey",historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/fish-hawk-or-osprey,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0081,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIOsprey.jpg
172,Swallow-tailed Kite,exact common name,Elanoides forficatus,Elanoides forficatus,Swallow-tailed Kite,elanoides-forficatus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:The_birds_of_Europe_(9398548273).jpg
173,White-tailed Kite,exact common name,Elanus leucurus,Elanus leucurus,White-tailed Kite,elanus-leucurus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:352_Black-Winged_Hawk.jpg
174,Bald Eagle,exact common name,Haliaeetus leucocephalus,Haliaeetus leucocephalus,Bald Eagle,haliaeetus-leucocephalus,,existing upstream,31,White-headed Eagle,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/white-headed-eagle,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0031,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIWhite-headed_Eagle.jpg
175,Northern Harrier,exact common name,Circus hudsonius,Circus hudsonius,Northern Harrier,circus-hudsonius,,source downloaded - NOT a finished asset,356,Marsh Hawk,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/marsh-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0356,unverified - check exact scan,not reviewed,sources/356.jpg,https://media.audubon.org/boa_illustration/plate-356-marsh-hawk.jpg,7eb4fb77632877cddd33767bbcee507cd0da05e4e9043de1c77d4cec312cbc04,missing,
176,Sharp-shinned Hawk,exact common name,Accipiter striatus,Accipiter striatus,Sharp-shinned Hawk,accipiter-striatus,,source downloaded - NOT a finished asset,375,Sharp-shinned Hawk,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/lesser-red-poll,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0375,unverified - check exact scan,not reviewed,sources/375.jpg,https://media.audubon.org/boa_illustration/plate-375-lesser-red-poll.jpg,33ad89f6ce588e92e3a18eeb753713512bbf282a43208adb6c795be5c0cbc37a,missing,
177,Broad-winged Hawk,exact common name,Buteo platypterus,Buteo platypterus,Broad-winged Hawk,buteo-platypterus,,source downloaded - NOT a finished asset,91,Broad-winged Hawk,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/broad-winged-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0091,unverified - check exact scan,not reviewed,sources/091.jpg,https://media.audubon.org/boa_illustration/plate-91-broad-winged-hawk.jpg,26087d04ce2218007bea7a4d31df45c9ca0ac2805eadf478cc0c695b92c67cd5,present,https://commons.wikimedia.org/wiki/File:91_Broad-winged_Hawk.jpg
178,White-tailed Hawk,exact common name,Geranoaetus albicaudatus,Geranoaetus albicaudatus,White-tailed Hawk,geranoaetus-albicaudatus,,needs source,,,,,,,,,,,missing,
179,Zone-tailed Hawk,exact common name,Buteo albonotatus,Buteo albonotatus,Zone-tailed Hawk,buteo-albonotatus,,needs source,,,,,,,,,,,missing,
180,Ferruginous Hawk,exact common name,Buteo regalis,Buteo regalis,Ferruginous Hawk,buteo-regalis,,needs source,,,,,,,,,,,missing,
181,Rough-legged Hawk,exact common name,Buteo lagopus,Buteo lagopus,Rough-legged Hawk,buteo-lagopus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIRough-legged_Buzzard.jpg
182,Golden Eagle,exact common name,Aquila chrysaetos,Aquila chrysaetos,Golden Eagle,aquila-chrysaetos,,existing upstream,181,Golden Eagle,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/golden-eagle,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0181,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIGolden_Eagle.jpg
183,Merlin,exact common name,Falco columbarius,Falco columbarius,Merlin,falco-columbarius,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIMerlin.jpg
184,Peregrine Falcon,exact common name,Falco peregrinus,Falco peregrinus,Peregrine Falcon,falco-peregrinus,,existing upstream,16,Great-footed Hawk,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/great-footed-hawk,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0016,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIPeregrine_Falcon.jpg
185,Prairie Falcon,exact common name,Falco mexicanus,Falco mexicanus,Prairie Falcon,falco-mexicanus,,needs source,,,,,,,,,,,present,"https://commons.wikimedia.org/wiki/File:Illustrations_of_the_birds_of_California,_Texas,_Oregon,_British_and_Russian_America_(Plate_16)_(6306009493).jpg"
186,Wild Turkey,exact common name,Meleagris gallopavo,Meleagris gallopavo,Wild Turkey,meleagris-gallopavo,,source downloaded - NOT a finished asset,1,Wild Turkey,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/wild-turkey,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0001,unverified - check exact scan,not reviewed,sources/001.jpg,https://media.audubon.org/boa_illustration/plate-1-wild-turkey.jpg,76fdb17d0041d5bb8bf2c5ce0004f7654e4673c33526860157291fcd047a9837,missing,
187,Northern Bobwhite,exact common name,Colinus virginianus,Colinus virginianus,Northern Bobwhite,colinus-virginianus,,source downloaded - NOT a finished asset,76,Virginian Partridge,historical-title candidate; verify on institution page,https://www.audubon.org/art/birds-of-america/virginian-partridge,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0076,unverified - check exact scan,not reviewed,sources/076.jpg,https://media.audubon.org/boa_illustration/plate-76-virginian-partridge.jpg,f5b32cdd12a035410a4d88bd1fdf7bc4a74305ae6fc0ae7f0867e7c70333848a,missing,
188,Sandhill Crane,exact common name,Antigone canadensis,Antigone canadensis,Sandhill Crane,antigone-canadensis,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:261_Hooping_Crane.jpg
189,Black-bellied Plover,exact common name,Pluvialis squatarola,Pluvialis squatarola,Black-bellied Plover,pluvialis-squatarola,,existing upstream,334,Black-bellied Plover,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/black-bellied-plover,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0334,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGrey_Plover.jpg
190,American Golden-Plover,exact common name,Pluvialis dominica,Pluvialis dominica,American Golden-Plover,pluvialis-dominica,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:300_Golden_Plover.jpg
191,Snowy Plover,exact common name,Anarhynchus nivosus,Charadrius nivosus,Snowy Plover,anarhynchus-nivosus,,needs source,,,,,,,,,,,missing,
192,Wilson's Plover,exact common name,Anarhynchus wilsonia,Charadrius wilsonia,Wilson's Plover,anarhynchus-wilsonia,,source downloaded - NOT a finished asset,209,Wilson's Plover,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/wilsons-plover,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0209,unverified - check exact scan,not reviewed,sources/209.jpg,https://media.audubon.org/boa_illustration/plate-209-wilsons-plover.jpg,c58dca105fba96dd2a7c431f5b92868a2b37470d5bbfda63b34cea6252def49f,present,https://commons.wikimedia.org/wiki/File:209_Wilson%27s_Plover.jpg
193,Semipalmated Plover,exact common name,Charadrius semipalmatus,Charadrius semipalmatus,Semipalmated Plover,charadrius-semipalmatus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:330_Ring_Plover.jpg
194,Piping Plover,exact common name,Charadrius melodus,Charadrius melodus,Piping Plover,charadrius-melodus,,source downloaded - NOT a finished asset,220,Piping Plover,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/piping-plover,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0220,unverified - check exact scan,not reviewed,sources/220.jpg,https://media.audubon.org/boa_illustration/plate-220-piping-plover.jpg,09a4c23ea508d2634ad60dde7d507766a471fe0cf814edff4ec4e39e4b4c4fbd,missing,
195,Black-necked Stilt,exact common name,Himantopus mexicanus,Himantopus mexicanus,Black-necked Stilt,himantopus-mexicanus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:328_Long-legged_Avocet.jpg
196,American Avocet,exact common name,Recurvirostra americana,Recurvirostra americana,American Avocet,recurvirostra-americana,,source downloaded - NOT a finished asset,318,American Avocet,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-avocet,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0318,unverified - check exact scan,not reviewed,sources/318.jpg,https://media.audubon.org/boa_illustration/plate-318-american-avocet.jpg,f947d448967fe8c8a2864a6a7370e9accc9716d1a199d976e7319c2663a14ffa,present,https://commons.wikimedia.org/wiki/File:318_American_Avocet.jpg
197,Greater Yellowlegs,exact common name,Tringa melanoleuca,Tringa melanoleuca,Greater Yellowlegs,tringa-melanoleuca,,needs source,,,,,,,,,,,missing,
198,Lesser Yellowlegs,exact common name,Tringa flavipes,Tringa flavipes,Lesser Yellowlegs,tringa-flavipes,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:288_Yellow_Shank.jpg
199,Solitary Sandpiper,exact common name,Tringa solitaria,Tringa solitaria,Solitary Sandpiper,tringa-solitaria,,source downloaded - NOT a finished asset,289,Solitary Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/solitary-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0289,unverified - check exact scan,not reviewed,sources/289.jpg,https://media.audubon.org/boa_illustration/plate-289-solitary-sandpiper.jpg,56ef8eb3fb71e76c70e170c5a5edf5215c226805338c8dde1b3be548f5c4df14,present,https://commons.wikimedia.org/wiki/File:289_Solitary_Sandpiper.jpg
200,Willet,exact common name,Tringa semipalmata,Tringa semipalmata,Willet,tringa-semipalmata,,needs source,,,,,,,,,,,missing,
201,Upland Sandpiper,exact common name,Bartramia longicauda,Bartramia longicauda,Upland Sandpiper,bartramia-longicauda,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVBartrams_Sandpiper.jpg
202,Whimbrel,exact common name,Numenius phaeopus,Numenius phaeopus,Whimbrel,numenius-phaeopus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVWhimbrel.jpg
203,Long-billed Curlew,exact common name,Numenius americanus,Numenius americanus,Long-billed Curlew,numenius-americanus,,source downloaded - NOT a finished asset,231,Long-billed Curlew,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/long-billed-curlew,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0231,unverified - check exact scan,not reviewed,sources/231.jpg,https://media.audubon.org/boa_illustration/plate-231-long-billed-curlew.jpg,61ca81cea2c721c21e4db2b40ac388bd6bf4258fb70e12c84d208fdd15de1857,present,https://commons.wikimedia.org/wiki/File:231_Long-billed_Curlew.jpg
204,Hudsonian Godwit,exact common name,Limosa haemastica,Limosa haemastica,Hudsonian Godwit,limosa-haemastica,,source downloaded - NOT a finished asset,258,Hudsonian Godwit,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/hudsonian-godwit,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0258,unverified - check exact scan,not reviewed,sources/258.jpg,https://media.audubon.org/boa_illustration/plate-258-hudsonian-godwit.jpg,d3a76bb7573c418b68e9dea0bfda36158106a3ee09758eeb0e723fcee44dd6db,missing,
205,Marbled Godwit,exact common name,Limosa fedoa,Limosa fedoa,Marbled Godwit,limosa-fedoa,,needs source,,,,,,,,,,,missing,
206,Ruddy Turnstone,exact common name,Arenaria interpres,Arenaria interpres,Ruddy Turnstone,arenaria-interpres,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVTurnstone.jpg
207,Red Knot,exact common name,Calidris canutus,Calidris canutus,Red Knot,calidris-canutus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVKnot.jpg
208,Sanderling,exact common name,Calidris alba,Calidris alba,Sanderling,calidris-alba,,existing upstream,230,Sanderling,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/sanderling,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0230,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSanderling.jpg
209,Semipalmated Sandpiper,exact common name,Calidris pusilla,Calidris pusilla,Semipalmated Sandpiper,calidris-pusilla,,existing upstream,405,Semipalmated Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/semipalmated-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0405,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSemipalmated_Sandpiper.jpg
210,Western Sandpiper,exact common name,Calidris mauri,Calidris mauri,Western Sandpiper,calidris-mauri,,needs source,,,,,,,,,,,missing,
211,Least Sandpiper,exact common name,Calidris minutilla,Calidris minutilla,Least Sandpiper,calidris-minutilla,,needs source,,,,,,,,,,,missing,
212,White-rumped Sandpiper,exact common name,Calidris fuscicollis,Calidris fuscicollis,White-rumped Sandpiper,calidris-fuscicollis,,needs source,,,,,,,,,,,missing,
213,Baird's Sandpiper,exact common name,Calidris bairdii,Calidris bairdii,Baird's Sandpiper,calidris-bairdii,,needs source,,,,,,,,,,,missing,
214,Pectoral Sandpiper,exact common name,Calidris melanotos,Calidris melanotos,Pectoral Sandpiper,calidris-melanotos,,existing upstream,294,Pectoral Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/pectoral-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0294,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPectoral_Sandpiper.jpg
215,Purple Sandpiper,exact common name,Calidris maritima,Calidris maritima,Purple Sandpiper,calidris-maritima,,existing upstream,284,Purple Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/purple-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0284,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVPurple_Sandpiper.jpg
216,Dunlin,exact common name,Calidris alpina,Calidris alpina,Dunlin,calidris-alpina,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVSchinzs_Sandpiper.jpg
217,Stilt Sandpiper,exact common name,Calidris himantopus,Calidris himantopus,Stilt Sandpiper,calidris-himantopus,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:344_Long-legged_Sandpiper.jpg
218,Buff-breasted Sandpiper,exact common name,Calidris subruficollis,Calidris subruficollis,Buff-breasted Sandpiper,calidris-subruficollis,,existing upstream,265,Buff breasted Sandpiper,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/buff-breasted-sandpiper,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0265,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVBuff-breasted_Sandpiper.jpg
219,Ruff,exact common name,Calidris pugnax,Calidris pugnax,Ruff,calidris-pugnax,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRuff.jpg
220,Short-billed Dowitcher,exact common name,Limnodromus griseus,Limnodromus griseus,Short-billed Dowitcher,limnodromus-griseus,,needs source,,,,,,,,,,,missing,
221,Long-billed Dowitcher,exact common name,Limnodromus scolopaceus,Limnodromus scolopaceus,Long-billed Dowitcher,limnodromus-scolopaceus,,needs source,,,,,,,,,,,missing,
222,Wilson's Snipe,exact common name,Gallinago delicata,Gallinago delicata,Wilson's Snipe,gallinago-delicata,,needs source,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:243_American_Snipe.jpg
223,American Woodcock,exact common name,Scolopax minor,Scolopax minor,American Woodcock,scolopax-minor,,source downloaded - NOT a finished asset,268,American Woodcock,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/american-woodcock,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0268,unverified - check exact scan,not reviewed,sources/268.jpg,https://media.audubon.org/boa_illustration/plate-268-american-woodcock.jpg,eabcb0fab9c95f5a82020fdb2bbfd16e06db9a94ea98e7aa5b4be4bb69c3bf1e,missing,
224,Wilson's Phalarope,exact common name,Phalaropus tricolor,Phalaropus tricolor,Wilson's Phalarope,phalaropus-tricolor,,source downloaded - NOT a finished asset,254,Wilson's Phalarope,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/wilsons-phalarope,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0254,unverified - check exact scan,not reviewed,sources/254.jpg,https://media.audubon.org/boa_illustration/plate-254-wilsons-phalarope.jpg,930abd3a6dbf21f8dfd3123c88e1819f30eac75101a0aad79e174ad03e52fb1a,present,https://commons.wikimedia.org/wiki/File:254_Wilson%27s_Phalarope.jpg
225,Red-necked Phalarope,exact common name,Phalaropus lobatus,Phalaropus lobatus,Red-necked Phalarope,phalaropus-lobatus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVRed-necked_Phalarope.jpg
226,Red Phalarope,exact common name,Phalaropus fulicarius,Phalaropus fulicarius,Red Phalarope,phalaropus-fulicarius,,existing upstream,255,Red Phalarope,exact catalog title; still requires visual check,https://www.audubon.org/art/birds-of-america/red-phalarope,https://historicpittsburgh.org/islandora/object/pitt%3Aaud0255,unverified - check exact scan,not reviewed,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeIVGrey_Phalarope.jpg
227,Parasitic Jaeger,exact common name,Stercorarius parasiticus,Stercorarius parasiticus,Parasitic Jaeger,stercorarius-parasiticus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVRichardsons_Lestris.jpg
228,Long-tailed Jaeger,exact common name,Stercorarius longicaudus,Stercorarius longicaudus,Long-tailed Jaeger,stercorarius-longicaudus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:Bird_illustration_from_Svenska_F%C3%A5glar_(Swedish_Birds)_by_the_von_Wright_brothers_from_rawpixel%27s_original_edition_of_the_publication_00043.jpg
229,Laughing Gull,exact common name,Leucophaeus atricilla,Leucophaeus atricilla,Laughing Gull,leucophaeus-atricilla,,needs source,,,,,,,,,,,missing,
230,Franklin's Gull,exact common name,Leucophaeus pipixcan,Leucophaeus pipixcan,Franklin's Gull,leucophaeus-pipixcan,,needs source,,,,,,,,,,,missing,
231,Little Gull,exact common name,Hydrocoloeus minutus,Hydrocoloeus minutus,Little Gull,hydrocoloeus-minutus,,existing upstream,,,,,,,,,,,present,https://commons.wikimedia.org/wiki/File:GouldBirdsEuropeVLittle_Gull.jpg
232,Bonaparte's Gull,exact common name,Chroicocephalus philadelphia,Chroicocephalus philadelphia,Bonaparte's Gull,chroicocephalus-philadelphia,,needs source,,,,,,,,,,,missing,
233,Ring-billed Gull,exact common name,Larus delawarensis,Larus delawarensis,Ring-billed Gull,larus-delawarensis,,needs source,,,,,,,,,,,missing,
234,California Gull,exact common name,Larus californicus,Larus californicus,California Gull,larus-californicus,,needs source,,,,,,,,,,,missing,
